Deal PermID,Package Identifier,Master Deal Type Code,All New Issues Manager Roles Code,Manager's Role Code,Dates: Issue Date,Issuer/Borrower Name Full,Issuer/Borrower PermID,Issue Type,Transaction Status,Issuer/Borrower Nation,New Issues Current Filing Date,Offer Price (Uniform),Proceeds Amount Incl Overallotment Sold All Markets,Proceeds Amount This Market,Issuer/Borrower Stock Exchange Name,Security Type All Markets,Offering Technique,New Issues Fees: Gross Spread as Pct of Principal Amount This Market,Domicile Nation Sub Region,Domicile Nation Region,Issuer/Borrower TRBC Business Sector,Issuer/Borrower TRBC Economic Sector,Lead Left Bookrunner,Managers Tier 1 & Tier 2 ,ECM Flag,Primary Use Of Proceeds,Issuer/Borrower Nation Region,Master Deal Type,All New Issues Manager Roles,Manager's Role,is_authentic
154088508450,5405143,ED,BM,BM,5/14/2024,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,101.8348794,101.8348794,,Senior Medium Term Notes,Issued off GMTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Swedbank,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
154088531591,5428509,ED,BM,BM,6/20/2024,Keppel REIT MTN Pte Ltd,5036381884.0,Investment Grade Corporate,Live,Singapore,,100.0,116.4446455,116.4446455,,Guaranteed Bonds,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,DBS Bank Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
154088534753,5431899,ED,JB|JB|JB|JB|JB|CM|CM,JB|JB|JB|JB|JB|CM|CM,6/25/2024,Perusahaan Penerbit SBSN Indonesia III,5037948421.0,Investment Grade Corporate|Emerging Market Corporate,Live,Indonesia,,100.0,2350.0,750.0,,Islamic Financing,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Citigroup Global Markets Inc|Dubai Islamic Bank PJSC|Hongkong & Shanghai Banking Corp Ltd|Mandiri Securities PTE LTD|MUFG Securities Asia Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager,0
154088534758,5431899,ED,JB|JB|JB|JB|JB|CM|CM,JB|JB|JB|JB|JB|CM|CM,6/25/2024,Perusahaan Penerbit SBSN Indonesia III,5037948421.0,Investment Grade Corporate|Emerging Market Corporate,Live,Indonesia,,100.0,2350.0,1000.0,,Islamic Financing,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Citigroup Global Markets Inc|Dubai Islamic Bank PJSC|Hongkong & Shanghai Banking Corp Ltd|Mandiri Securities PTE LTD|MUFG Securities Asia Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager,0
154088534765,5431899,ED,JB|JB|JB|JB|JB|CM|CM,JB|JB|JB|JB|JB|CM|CM,6/25/2024,Perusahaan Penerbit SBSN Indonesia III,5037948421.0,Investment Grade Corporate|Emerging Market Corporate,Live,Indonesia,,100.0,2350.0,600.0,,Islamic Financing,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,Citigroup Global Markets Inc|Dubai Islamic Bank PJSC|Hongkong & Shanghai Banking Corp Ltd|Mandiri Securities PTE LTD|MUFG Securities Asia Ltd,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager,Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|Joint Book Runner|CoManager|CoManager,0
154088543145,5441313,ED,BM,BM,1/19/2024,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,10.69232825,10.69232825,,Senior Medium Term Notes,Issued off MTN programme|Firm Commitment,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,BNP Paribas SA,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
154088551315,5451495,ASPD,JB|JB,JB|JB,7/12/2024,WHA Utilities & Power PCL,5000024158.0,Emerging Market Corporate|Investment Grade Corporate,Live,Thailand,,100.0,69.19457515,22.14226405,Thailand,Senior Unsecured Notes,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Utilities,Utilities,,Siam Commercial Bank PLC|Kasikornbank PCL,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner,0
154088551328,5451495,ASPD,JB|JB,JB|JB,7/12/2024,WHA Utilities & Power PCL,5000024158.0,Emerging Market Corporate|Investment Grade Corporate,Live,Thailand,,100.0,69.19457515,11.07113202,Thailand,Senior Unsecured Notes,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Utilities,Utilities,,Siam Commercial Bank PLC|Kasikornbank PCL,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,Joint Book Runner|Joint Book Runner,Joint Book Runner|Joint Book Runner,0
154088551329,5451495,ASPD,BM,BM,7/12/2024,WHA Utilities & Power PCL,5000024158.0,Emerging Market Corporate|Investment Grade Corporate,Live,Thailand,,100.0,69.19457515,35.98117908,Thailand,Senior Unsecured Notes,,na,Southeast Asia,Asia Pacific Excluding Central Asia,Utilities,Utilities,,Siam Commercial Bank PLC,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Asia Pacific Non Cvt Debt,BookRunner,BookRunner,0
154088551844,5451997,ED,BM,BM,7/4/2024,Asian Development Bank,8589934162.0,"Agency, Supranational, Sovereign",Live,Philippines,,100.0,12.80590096,12.80590096,,Senior Medium Term Notes,Issued off MTN programme,na,Southeast Asia,Asia Pacific Excluding Central Asia,Banking & Investment Services,Financials,,HSBC Bank PLC,False,Green Bond Purposes,Asia Pacific Excluding Central Asia,Euro & Foreign Non Cvt Debt,BookRunner,BookRunner,0
