name,ric,currency,org_permid,isin
SINGAPORE KTCN.EQUIPMENT SUSP - SUSP.05/08/21,SING.SI,S$,5040054471.0,SG2F97994568
SINOSTAR PEC HDG.,SNSR.SI,S$,4295864020.0,SG1V73937608
SKYLINK HOLDINGS,SKYI.SI,S$,5037630972.0,SGXE87155607
SOUP HOLDINGS,SOUP.SI,S$,4295887670.0,SG1U97935860
SPACKMAN ENTM.GP.,SPAC.SI,S$,5043332527.0,SGXE13591867
TELECHOICE INTL.,TCIN.SI,S$,4295888196.0,SG1P75919099
THAKRAL CORPORATION,THAK.SI,S$,4295887582.0,SG1AJ2000005
TSH CORPORATION,TSHC.SI,S$,4295887720.0,SGXE89604008
TT INTERNATIONAL SUSP - SUSP.03/08/17,TINL.SI,S$,5000074544.0,SG1I71883728
TYE SOON,TYES.SI,S$,4295887975.0,SG1BH8000001
VIBRANT GROUP,VIBR.SI,S$,4295887569.0,SG1BJ7000008
VIBROPOWER CORPORATION,VIBO.SI,S$,4295887739.0,SG1CA3000009
VINS HOLDINGS,VINS.SI,S$,5093811871.0,KYG9R67A1025
XMH HOLDINGS,XMHL.SI,S$,5001217382.0,SG1CF5000006
YY GROUP HOLDING A,YYGH.O,U$,5086874958.0,VGG9888Q1037
ZHONGMIN BAIHUI RET.GP.,ZBRG.SI,S$,5001234202.0,SG2C76966531
ZHONGXIN FRUIT & JUICE,ZHON.SI,S$,4295887612.0,SG1P25916898
17LIVE GROUP,LIVE.SI,S$,5082076972.0,KYG8074N1060
8TELECOM INTL.HDG. SUSP - SUSP.09/09/19,ETEL.SI,S$,4295888074.0,BMG3087Y2074
A-SMART HOLDINGS,ASMA.SI,S$,4295887942.0,SG1CF3000008
ABR HOLDINGS,ABRH.SI,S$,4295887498.0,SG0533000253
ABUNDANCE INTERNATIONAL,ABUN.SI,S$,4295887664.0,SG1I02877971
ACESIAN PARTNERS,ACES.SI,S$,4295888064.0,SG1Q66923448
ACROPHYTE HPTST. MAN. UTS.,ACRP.SI,U$,5068339118.0,SGXC80011726
ADVANCED HOLDINGS,ADVA.SI,S$,4295888090.0,SG1CD5000001
ADVENTUS HOLDINGS,ADVE.SI,S$,4295887574.0,SG1P24916816
AEDGE GROUP,AEDE.SI,S$,5073798742.0,SGXE57819042
AEM HOLDINGS,AEM.SI,S$,4295887642.0,SG1BA1000003
AF GLOBAL,AFGL.SI,S$,4295887453.0,SG1C01001033
ALLIANCE HEALTHCARE GROUP,ALLA.SI,S$,5040252306.0,SGXE65282837
AMCORP GLOBAL,AMCO.SI,S$,5038901716.0,SG2F79993489
AMPLEFIELD,AMPL.SI,S$,4295887769.0,SG1AG0000003
ANAN INTERNATIONAL,ANAN.SI,S$,4295864393.0,BMG036111034
ANTALPHA PLATFORM HOLDING A,ANTA.O,U$,5093942859.0,KYG0395R1065
AOXIN Q & M DENTAL GROUP,AOXI.SI,S$,5036366684.0,SG1DF9000000
AP OIL INTL.,AOIL.SI,S$,4295887537.0,SG1K10892752
ASIA ENTS.HOLDING,AEHL.SI,S$,4295887422.0,SG1S11926551
ASIA PACIFIC STRATEGIC INVESTMENTS,ASIC.SI,S$,4295887417.0,SG2B89959318
ASIAMEDIC,ASIM.SI,S$,4295887497.0,SG0505000059
