company,ticker,country,Year,emissions_intensity,environmental_investment,internal_carbon_pricing
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2015,10025.39225013,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2016,10603.72539762,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2017,9951.65428976,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2018,11037.70752873,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2019,12908.44326879,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2020,13347.06659489,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2021,14452.09679199,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2022,12326.30390235,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2023,7817.13380971,,
ASIA COMMERCIAL,VN000000ACB8,Vietnam,2024,8844.94253212,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2015,6123.70199649,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2016,7189.91681747,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2017,7713.36916324,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2018,8255.7471819,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2019,8206.47243196,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2020,7909.25150582,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2021,7140.42478941,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2022,6471.48937968,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2023,6440.33631517,,
BA RIA THERMAL POWER,VN000000BTP0,Vietnam,2024,6717.83555076,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2015,205.05017236,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2016,227.22592553,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2017,174.15830699,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2018,258.40066802,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2019,303.68754961,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2020,282.05726369,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2021,230.54918244,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2022,230.99344888,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2023,416.61905193,,
BA RIA-VUNG TAU HSE.DEV.,VN000000HDC9,Vietnam,2024,469.80898242,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2018,280.10139975,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2019,315.17899675,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2020,403.35799999,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2021,481.1246607,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2022,511.69345591,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2023,561.44363737,,
BAF VIET NAM AGRICULTURE,VN000000BAF1,Vietnam,2024,690.47657548,,
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2015,362.82333805,,
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2016,388.890176,,
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2017,365.92086509,,
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2018,320.52965609,,
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2019,382.11173736,,
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2020,511.81584085,N   ,N   
BAMBOO CAPITAL JSC,VN000000BCG5,Vietnam,2021,727.22184486,N   ,N   
